INFO 2025-12-05 11:09:01,402 middleware_mejorado 9484 17856 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-05 11:16:26,134 middleware_mejorado 5168 15584 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-05 11:16:51,245 middleware_mejorado 5168 7184 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /reportes/estadisticas/
INFO 2025-12-05 11:16:55,753 middleware_mejorado 5168 7184 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /reportes/estadisticas/
INFO 2025-12-05 11:16:58,086 middleware_mejorado 5168 7184 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /reportes/exportar/
INFO 2025-12-05 11:38:17,611 middleware_mejorado 16632 32 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-08 20:50:16,913 middleware_mejorado 110467 139047058011840 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /accounts/login/
INFO 2025-12-08 20:50:17,153 middleware_mejorado 110467 139047058011840 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-08 20:51:21,082 middleware_mejorado 111610 140586140038848 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-08 20:57:59,266 middleware_mejorado 111610 140586140038848 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-08 21:06:35,842 middleware_mejorado 118381 132114597017280 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-08 21:09:05,832 middleware_mejorado 118381 132114569742016 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /perfil/
INFO 2025-12-08 21:09:25,400 middleware_mejorado 118381 132114569742016 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /perfil/
INFO 2025-12-08 21:10:50,999 middleware_mejorado 118381 132114597017280 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /idiomas/api/language/change/
INFO 2025-12-08 21:10:51,355 middleware_mejorado 118381 132114597017280 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /idiomas/api/language/save-preference/
INFO 2025-12-08 21:11:01,640 middleware_mejorado 118381 132114569742016 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /idiomas/api/language/change/
INFO 2025-12-08 21:11:02,000 middleware_mejorado 118381 132114569742016 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /idiomas/api/language/save-preference/
INFO 2025-12-08 21:31:35,670 middleware_mejorado 128030 130172380448448 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-08 21:33:52,764 middleware_mejorado 128030 130172371007168 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-08 21:39:38,115 middleware_mejorado 131962 135026469500608 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-08 21:42:23,968 middleware_mejorado 131962 135026469500608 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 10:50:10,235 middleware_mejorado 18320 680 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /accounts/login/
INFO 2025-12-10 10:50:10,270 middleware_mejorado 18320 680 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 10:50:39,294 middleware_mejorado 18320 4908 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/dashboard/
INFO 2025-12-10 10:50:59,740 middleware_mejorado 18320 4048 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/dashboard/
INFO 2025-12-10 10:51:50,600 middleware_mejorado 18320 4908 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/dashboard/
INFO 2025-12-10 10:56:10,311 middleware_mejorado 9244 19092 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 10:56:39,570 middleware_mejorado 9244 15660 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/dashboard/
INFO 2025-12-10 10:57:18,296 middleware_mejorado 9244 19092 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/importar-github/
INFO 2025-12-10 10:58:17,661 middleware_mejorado 9244 16056 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 10:58:27,002 middleware_mejorado 9244 16056 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /reportes/estadisticas/
INFO 2025-12-10 11:00:51,600 middleware_mejorado 9244 14084 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/dashboard/
INFO 2025-12-10 11:04:43,705 middleware_mejorado 1896 17168 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:05:03,951 middleware_mejorado 1896 19392 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /accounts/login/
